RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_005262	P00367	Glutamate dehydrogenase 1, mitochondrial precursor	12.04217	12.48959	12.39290	13.04041	11.84099	12.35262	12.77651	12.82929	12.57708	12.83550	12.34182	13.06409	0.94860	0.56560	0.34483	-0.15200	0.31034	-0.91594
NP_005264	P54313	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta 2	11.29983	11.14109	11.75849	10.67806	11.18267	11.69300	11.06178	11.04243	11.20270	11.13042	11.19839	11.24028	-3.32193	-1.47393	-0.81097	0.01436	-1.88897	0.04264
NP_005304	P30101	Protein disulfide-isomerase A3 precursor	10.28873	10.30272	10.60206	10.55534	10.21995	10.94430	10.68908	10.53692	10.54343	10.48210	10.30578	10.58788	0.48543	-0.25154	-0.28630	0.16350	0.65992	0.13750
NP_005509	P54868	Hydroxymethylglutaryl-CoA synthase, mitochondrial precursor	13.21835	12.61648	11.88779	11.91400	11.24844	11.30017	12.14495	11.98511	12.04729	12.25886	12.01039	11.74755	0.27501	-0.59946	-0.04394	0.40054	1.11103	0.65992
NP_005520	P98160	Basement membrane-specific heparan sulfate proteoglycan core protein precursor	9.24897	8.84061	8.95440	8.57925	8.86972	8.86406	8.63215	8.72789	9.22369	8.86972	9.27593	8.85573	0.68706	-0.05889	-0.71312	-0.04394	0.15056	0.43296
NP_005580	Q02252	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor	11.57908	11.54306	11.32175	10.74666	10.75631	10.63482	11.43521	11.34889	11.31903	11.42031	11.13644	11.05903	0.41143	0.83188	0.31034	-0.91594	0.08406	-1.00000
NP_005712	Q5R8R1	Actin-like protein 3	9.26388	9.19590	9.77336	9.99511	8.57087	9.74415	9.31026	9.54929	8.97994	8.92436	8.75222	8.91374	1.37851	0.44361	-0.10470	-0.55639	0.02857	1.78660
NP_005827	P52758	Ribonuclease UK114	10.59058	10.96759	10.25840	10.78554	9.98058	9.84955	11.33595	11.27673	11.25612	11.23984	10.68461	11.23789	0.33342	0.55582	0.63227	-0.37707	0.21412	-0.47393
NP_005887	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	10.33274	9.66398	8.47243	10.06636	9.14933	9.24224	9.78622	9.80906	9.99081	10.01151	9.63116	9.54279	0.49570	1.74846	-0.28630	-0.62149	-0.34008	-0.23447
NP_005908	P40925	Malate dehydrogenase, cytoplasmic	9.64686	9.53971	9.05311	9.23003	9.96081	8.60810	9.60969	9.21396	9.31323	9.43107	9.48634	9.64692	0.90304	0.77400	0.29866	-0.68966	-0.18442	0.15056
NP_005909	P40926	Malate dehydrogenase, mitochondrial precursor	8.98024	9.22244	9.16872	9.04977	8.89887	9.52784	8.96657	8.89786	9.04319	9.17899	9.14776	9.24455	1.26303	0.61353	0.26303	-0.47393	-0.39593	-0.73697
NP_005947	P11586	C-1-tetrahydrofolate synthase, cytoplasmic	9.36175	9.16374	8.57296	9.00196	9.33089	9.04544	8.97376	8.84243	8.85988	8.94397	8.73209	8.41689	0.13750	0.04264	-0.25154	-0.16812	0.44361	0.18903
NP_005955	P35580	Myosin-10	10.33728	9.10999	7.93862	8.98654	9.55057	8.00975	9.08714	9.60813	9.61337	9.19891	9.52969	9.07890	0.08406	-0.34008	-0.13606	0.79909	2.89724	0.75702
NP_006102	P42765	3-ketoacyl-CoA thiolase, mitochondrial	10.80025	10.01053	9.65106	10.55531	10.14565	9.87951	10.82876	10.44480	10.68039	10.84161	10.52140	10.62523	0.55582	-0.02915	-0.18442	0.37851	0.45418	-0.35845
NP_006108	O75521	Peroxisomal 3,2-trans-enoyl-CoA isomerase	11.50987	11.31887	9.67435	12.19288	11.54937	10.20203	12.10627	12.11634	12.05730	11.75405	11.74037	11.73806	0.35614	0.63227	0.04264	2.82171	1.18269	-0.02915
NP_006187	O19048	Poly(rC)-binding protein 1	11.40271	11.25042	11.29447	10.91630	10.52737	11.61963	10.95528	10.88331	11.05130	11.24212	10.97316	11.46503	0.22651	0.21412	-0.34008	-0.18442	0.56560	-0.10470
NP_006280	Q9Y490	Talin-1	8.84889	8.74427	9.13511	8.15562	7.98168	9.20889	7.62404	8.00245	8.13825	8.30264	7.99299	8.28395	0.40054	0.27501	-0.23447	0.16350	-0.20091	0.04264
NP_006358	Q01518	Adenylyl cyclase-associated protein 1	10.59104	10.47016	11.09676	10.74650	10.29898	11.16283	10.77358	10.81535	10.76443	10.47850	10.62282	10.33411	1.25701	0.57531	0.42223	-0.01450	0.22651	1.29866
NP_006423	P61916	Epididymal secretory protein E1 precursor	11.57758	11.40969	11.61048	10.43535	10.54577	11.04884	10.74678	10.85791	11.35789	10.89385	10.69738	10.19959	1.60407	0.08406	-0.28630	0.09761	0.05658	-0.20091
NP_006614	O43175	D-3-phosphoglycerate dehydrogenase	12.01734	11.33084	9.64663	11.46805	10.92411	10.65610	11.03884	11.01766	10.78017	11.36772	10.88382	10.84548	0.16350	0.08406	0.98550	0.01436	0.62293	-0.25154
NP_006624	Q13576	Ras GTPase-activating-like protein IQGAP2	9.02210	8.98654	8.77450	9.52297	8.85550	8.81312	9.02924	9.11176	8.97549	9.03219	9.03140	8.93350	0.37851	0.37851	-0.76121	0.40054	0.58496	-0.62149
NP_006648	O95954	Formimidoyltransferase-cyclodeaminase	10.07560	9.88966	10.00629	10.11783	10.61264	10.13608	12.01977	12.35527	12.18171	12.61315	12.11788	11.66857	-1.59946	0.16350	-0.37707	-0.04394	0.61353	0.31034
NP_008855	Q6PDM2	Splicing factor, arginine/serine-rich 1	8.66472	8.62970	8.63349	9.10321	8.75162	9.03412	8.98329	8.90595	8.55452	8.59078	8.42534	8.98640	0.94111	-1.08927	-0.53533	-0.13606	0.64155	0.59455
NP_009057	P55072	Transitional endoplasmic reticulum ATPase	10.81370	10.85238	10.55499	10.67258	10.53742	11.10459	10.42872	10.35614	10.52476	10.52445	10.46719	10.70071	0.98550	0.65992	0.28688	-0.15200	0.67807	0.65076
NP_009193	Q99497	Protein DJ-1	12.61435	12.66310	12.26336	12.66618	12.44567	12.27837	12.58051	12.64571	12.84208	12.86695	13.04126	12.83833	0.45418	0.73985	0.42223	-0.78588	0.01436	-0.41504
NP_036322	O75891	10-formyltetrahydrofolate dehydrogenase	10.40899	10.30292	9.41511	9.82310	10.12589	9.90620	9.18809	9.36724	9.11187	9.82622	9.47915	9.09387	0.65992	0.91839	0.48543	-1.25154	-0.51457	-0.30401
NP_036386	Q9Y2P5	Bile acyl-CoA synthetase	12.42193	12.61072	11.74328	11.96746	11.06141	12.11933	12.82039	12.72738	12.74696	13.05675	12.88123	12.77403	-0.21759	-0.34008	-0.26882	0.46467	1.25701	0.02857
NP_054752	Q96IZ6	Hypothetical 33.8 kDa protein in TWT1-FLO5 intergenic region	11.69079	11.75598	10.62282	10.67337	11.61618	11.05535	11.75653	11.66465	11.59926	11.66174	11.49369	11.48909	0.50589	-0.23447	-1.02915	0.63227	1.01436	-0.07400
NP_055049	Q92506	Estradiol 17-beta-dehydrogenase 8	11.58942	11.39047	11.08666	11.63512	11.71782	11.93361	11.38364	11.23934	11.53227	11.69449	11.55546	11.50710	0.69599	0.36737	-0.05889	0.66903	0.00000	-0.66658
NP_055635	O94826	Mitochondrial precursor proteins import receptor	10.03411	9.98543	9.76039	10.74193	9.79885	10.44573	10.48279	10.70872	10.39918	10.17073	10.09205	10.49131	0.69599	-0.49411	-0.18442	-1.43440	-1.25154	-1.00000
NP_055866	Q9BS26	Thioredoxin domain-containing protein 4 precursor	8.39130	8.19786	8.57583	8.54623	8.03689	8.68014	8.29764	8.36449	8.27162	8.31944	8.13598	8.43636	-1.02915	-0.45403	-0.01450	-0.16812	-0.10470	-3.83650
NP_057086	Q8NBX0	Probable saccharopine dehydrogenase	12.48415	12.41369	12.14835	12.67223	11.62390	12.21190	12.25978	11.96113	12.18517	12.27458	12.09390	12.30628	0.04264	-0.26882	-0.68966	0.57531	-0.15200	-1.05889
NP_057128	Q59050	Hypothetical protein MJ1656	11.39323	11.22278	11.38229	11.10219	10.34728	11.62531	10.76022	10.63092	10.97101	11.23728	10.98619	11.02276	1.07039	0.37851	0.16350	-0.51457	0.00000	1.98550
NP_057370	Q7Z4W1	L-xylulose reductase	13.21171	13.39240	12.58342	13.61857	13.57177	13.16396	13.87870	13.90479	13.96303	14.16350	14.06086	14.39578	-1.35845	-0.41504	-1.35845	0.02857	0.70487	0.41143
NP_060368	P75863	Hypothetical protein ycbX	12.00533	11.70219	11.79627	12.08667	11.00931	11.94642	11.63947	11.44306	11.33451	11.63600	11.24273	11.09511	0.88753	0.16350	-0.18442	0.41143	0.16350	-0.55639
NP_060979	Q96AG4	Leucine-rich repeat-containing protein 59	7.92236	7.78052	7.75721	7.97284	7.74467	8.20479	7.88072	7.76345	7.98774	7.97558	8.14243	8.22123	0.41143	0.28688	-0.41504	0.08406	-0.39593	0.12433
NP_066953	P62941	Peptidyl-prolyl cis-trans isomerase A	11.86680	12.03092	11.78673	12.24313	12.18900	11.79722	11.93831	11.89933	12.06561	12.15384	12.06449	12.50751	0.85599	0.38957	0.42223	-0.39593	-0.18442	-0.18442
NP_066964	P13010	ATP-dependent DNA helicase 2 subunit 2	7.84482	7.79948	7.55965	8.45638	7.98388	7.68934	8.47603	8.69184	8.13982	8.87163	7.98179	8.13113	0.80735	-0.15200	-0.81097	0.11103	0.50589	-1.32193
NP_068776	P54840	Glycogen [starch] synthase, liver	11.31069	10.86258	8.43266	11.91502	10.68092	9.10430	11.80759	12.09399	11.72519	11.49569	11.22709	11.41200	0.04264	0.08406	-0.78588	0.18903	1.01436	0.20163
NP_072090	P19059	2-hydroxymuconic semialdehyde dehydrogenase	11.81333	12.24219	12.51444	11.89798	11.56299	11.23591	12.36816	12.35021	12.52444	12.48902	12.53392	12.49749	-1.68966	-0.34008	-0.59946	0.21412	0.01436	-0.41504
NP_112574	Q9BRR6	ADP-dependent glucokinase	9.05607	8.61347	8.53074	8.57245	9.04681	8.99783	8.98162	8.87874	9.00966	9.04600	9.08636	9.03783	0.32193	1.30451	0.69599	-1.32193	-0.45403	-0.02915
NP_115679	P14802	Hypothetical oxidoreductase yoxD	9.10660	8.65124	7.48437	8.93351	7.52600	8.23121	9.08464	8.88733	8.39598	8.74477	8.85802	8.58065	0.76553	-0.20091	-0.45403	0.12433	0.31034	-0.47393
NP_612461	Q96LJ7	Dehydrogenase/reductase SDR family member 1	9.20719	8.92269	8.64173	9.13593	8.63729	8.95451	8.92374	8.80500	8.96628	9.35738	8.71798	8.67108	-3.64386	-1.47393	-0.02915	0.53605	0.47508	0.58496
XP_292820	Q8IWN7	Retinitis pigmentosa 1-like 1 protein	9.92052	9.54465	9.22216	9.58004	10.08697	9.61194	9.05746	9.03531	8.97077	9.31080	9.34102	8.88733	-0.02915	-0.04394	-0.04394	1.09085	0.49570	-0.86250
XP_371369	O15320	Cutaneous T-cell lymphoma-associated antigen 5	8.79688	8.56509	7.86198	8.56022	8.19951	7.94587	9.59365	9.41416	9.22121	9.38808	9.13369	9.02499	0.13750	-0.71312	-1.18442	0.45418	0.21412	0.42223
